Global Path Load
6770.76 -5443.44 -89.5138
waypoint class initialized
Global Path Load
6770.76 -5443.44 -89.5138
waypoint class initialized
pose 6770.76 -5443.44
next 6770.76 -5443.44
pose 6770.76 -5443.44
next 6770.76 -5443.44
pose 6770.76 -5443.44
next 6770.76 -5443.44
pose 6770.76 -5443.44
next 6770.76 -5443.44
pose 6770.76 -5443.44
next 6770.76 -5443.44
pose 6770.76 -5443.44
next 6770.76 -5443.44
pose 6770.76 -5443.44
next 6770.76 -5443.44
pose 6770.76 -5443.44
next 6770.76 -5443.44
pose 6770.76 -5443.44
next 6770.76 -5443.44
pose 6770.76 -5443.44
next 6770.76 -5443.44
pose 6770.76 -5443.44
next 6770.76 -5443.44
pose 6770.76 -5443.44
next 6770.76 -5443.44
pose 6770.76 -5443.44
next 6770.76 -5443.44
pose 6770.76 -5443.44
next 6770.76 -5443.44
pose 6770.76 -5443.44
next 6770.76 -5443.44
pose 6770.76 -5443.44
next 6770.76 -5443.44
pose 6770.76 -5443.44
next 6770.76 -5443.44
pose 6770.76 -5443.44
next 6770.76 -5443.44
pose 6770.77 -5441.14
next 6770.79 -5439.44
pose 6770.78 -5441.04
next 6770.79 -5439.44
pose 6770.78 -5440.94
next 6770.79 -5439.44
pose 6770.78 -5440.54
next 6770.79 -5439.44
pose 6770.78 -5440.44
next 6770.79 -5439.44
pose 6770.78 -5440.44
next 6770.79 -5439.44
pose 6770.78 -5440.01
next 6770.79 -5439.44
pose 6770.79 -5439.9
next 6770.79 -5439.44
pose 6770.79 -5439.55
next 6770.79 -5439.44
pose 6770.79 -5439.32
next 6770.82 -5435.44
pose 6770.79 -5439.07
next 6770.82 -5435.44
pose 6770.79 -5439.07
next 6770.82 -5435.44
pose 6770.8 -5438.7
next 6770.82 -5435.44
pose 6770.8 -5438.31
next 6770.82 -5435.44
pose 6770.8 -5438.05
next 6770.82 -5435.44
pose 6770.8 -5437.77
next 6770.82 -5435.44
pose 6770.81 -5437.49
next 6770.82 -5435.44
pose 6770.81 -5437.21
next 6770.82 -5435.44
pose 6770.81 -5436.92
next 6770.82 -5435.44
pose 6770.81 -5436.62
next 6770.82 -5435.44
pose 6770.82 -5436.31
next 6770.82 -5435.44
pose 6770.82 -5436.16
next 6770.82 -5435.44
pose 6770.82 -5435.68
next 6770.82 -5435.44
pose 6770.82 -5435.35
next 6770.87 -5430.44
pose 6770.83 -5434.68
next 6770.87 -5430.44
pose 6770.83 -5434.68
next 6770.87 -5430.44
pose 6770.83 -5434.33
next 6770.87 -5430.44
pose 6770.84 -5433.8
next 6770.87 -5430.44
pose 6770.84 -5433.61
next 6770.87 -5430.44
pose 6770.84 -5433.43
next 6770.87 -5430.44
pose 6770.85 -5432.87
next 6770.87 -5430.44
pose 6770.85 -5432.48
next 6770.87 -5430.44
pose 6770.85 -5432.09
next 6770.87 -5430.44
pose 6770.86 -5431.29
next 6770.87 -5430.44
pose 6770.86 -5431.29
next 6770.87 -5430.44
pose 6770.86 -5430.88
next 6770.87 -5430.44
pose 6770.87 -5430.67
next 6770.87 -5430.44
pose 6770.87 -5430.04
next 6770.9 -5426.44
pose 6770.87 -5430.04
next 6770.9 -5426.44
pose 6770.88 -5429.4
next 6770.9 -5426.44
