waypoint class initialized
waypoint class initialized
pose 6770.76 5443.44
next 6770.76 5443.44
pose 6770.76 5443.44
next 6770.76 5443.44
pose 6770.76 5443.44
next 6770.76 5443.44
pose 6770.76 5443.44
next 6770.76 5443.44
pose 6770.76 5443.44
next 6770.76 5443.44
pose 6770.76 5443.44
next 6770.76 5443.44
pose 6770.76 5443.44
next 6770.76 5443.44
pose 6770.76 5443.44
next 6770.76 5443.44
pose 6770.76 5443.44
next 6770.76 5443.44
pose 6770.75 5443.44
next 6770.76 5443.44
pose 6770.75 5443.44
next 6770.76 5443.44
pose 6770.75 5443.44
next 6770.76 5443.44
pose 6770.75 5443.44
next 6770.76 5443.44
pose 6770.75 5443.44
next 6770.76 5443.44
pose 6770.75 5443.44
next 6770.76 5443.44
pose 6770.75 5443.44
next 6770.76 5443.44
pose 6770.76 5443.44
next 6770.76 5443.44
pose 6770.76 5443.44
next 6770.76 5443.44
pose 6770.75 5443.32
next 6770.76 5442.35
pose 6770.74 5443.25
next 6770.76 5442.29
pose 6770.74 5443.17
next 6770.75 5442.23
pose 6770.74 5443.13
next 6770.75 5442.2
pose 6770.74 5443.13
next 6770.75 5442.2
pose 6770.76 5443.05
next 6770.77 5442.15
pose 6770.79 5442.83
next 6770.79 5441.98
pose 6770.79 5442.74
next 6770.79 5441.91
pose 6770.79 5442.74
next 6770.79 5441.91
pose 6770.8 5442.54
next 6770.79 5441.77
pose 6770.8 5442.54
next 6770.79 5441.77
pose 6770.8 5442.28
next 6770.8 5441.57
pose 6770.8 5442.28
next 6770.8 5441.57
pose 6770.8 5442.23
next 6770.8 5441.53
pose 6770.8 5442.12
next 6770.8 5441.45
pose 6770.81 5442.01
next 6770.8 5441.36
pose 6770.81 5441.89
next 6770.8 5441.28
pose 6770.81 5441.66
next 6770.8 5441.1
pose 6770.81 5441.66
next 6770.8 5441.1
pose 6770.81 5441.54
next 6770.8 5441.01
pose 6770.81 5441.29
next 6770.8 5440.36
pose 6770.81 5441.16
next 6770.8 5440.3
pose 6770.81 5441.16
next 6770.8 5440.3
pose 6770.81 5440.97
next 6770.8 5440.2
pose 6770.81 5440.91
next 6770.8 5440.17
pose 6770.81 5440.77
next 6770.8 5440.1
pose 6770.81 5440.57
next 6770.8 5440
pose 6770.81 5440.37
next 6770.79 5439.44
pose 6770.81 5440.23
next 6770.79 5439.44
pose 6770.81 5440.23
next 6770.79 5439.44
pose 6770.81 5440.03
next 6770.79 5439.44
pose 6770.8 5439.82
next 6770.79 5439.44
pose 6770.8 5439.82
next 6770.79 5439.44
pose 6770.8 5439.53
next 6770.79 5439.44
pose 6770.8 5439.53
next 6770.79 5439.44
pose 6770.78 5439.18
next 6770.79 5438.24
pose 6770.76 5439.04
next 6770.77 5438.14
pose 6770.76 5439.04
next 6770.77 5438.14
pose 6770.74 5438.82
next 6770.76 5437.98
pose 6770.74 5438.82
next 6770.76 5437.98
pose 6770.75 5438.54
next 6770.77 5437.76
pose 6770.76 5438.39
next 6770.78 5437.65
pose 6770.76 5438.25
next 6770.78 5437.54
pose 6770.77 5438.1
next 6770.78 5437.43
pose 6770.77 5438.1
next 6770.78 5437.43
pose 6770.77 5437.95
next 6770.78 5437.32
pose 6770.77 5437.66
next 6770.78 5437.1
pose 6770.78 5437.43
next 6770.8 5436.43
pose 6770.78 5437.35
next 6770.8 5436.4
pose 6770.78 5437.13
next 6770.8 5436.28
pose 6770.79 5437.05
next 6770.8 5436.24
pose 6770.79 5436.82
next 6770.81 5436.13
pose 6770.79 5436.82
next 6770.81 5436.13
pose 6770.8 5436.59
next 6770.81 5436.01
pose 6770.81 5436.36
next 6770.82 5435.44
pose 6770.81 5436.28
next 6770.82 5435.44
pose 6770.81 5436.28
next 6770.82 5435.44
pose 6770.81 5435.89
next 6770.82 5435.44
pose 6770.81 5435.82
next 6770.82 5435.44
pose 6770.82 5435.66
next 6770.82 5435.44
pose 6770.82 5435.5
next 6770.82 5435.44
pose 6770.82 5435.5
next 6770.82 5435.44
pose 6770.83 5435.27
next 6770.83 5434.66
pose 6770.84 5435.03
next 6770.84 5434.46
pose 6770.84 5435.03
next 6770.84 5434.46
pose 6770.83 5434.88
next 6770.83 5434.32
pose 6770.74 5434.59
next 6770.76 5434.07
pose 6770.74 5434.59
next 6770.76 5434.07
pose 6770.72 5434.29
next 6770.75 5433.33
pose 6770.76 5434.08
next 6770.79 5433.17
pose 6770.76 5434.08
next 6770.79 5433.17
pose 6770.76 5434.08
next 6770.79 5433.17
pose 6770.8 5433.86
next 6770.82 5433
pose 6770.81 5433.79
next 6770.82 5432.95
pose 6770.8 5433.41
next 6770.82 5432.67
pose 6770.8 5433.41
next 6770.82 5432.67
pose 6770.8 5433.26
next 6770.82 5432.56
pose 6770.8 5433.04
next 6770.82 5432.39
pose 6770.8 5432.96
next 6770.82 5432.33
pose 6770.82 5432.66
next 6770.83 5432.1
pose 6770.82 5432.66
next 6770.83 5432.1
pose 6770.82 5432.51
next 6770.83 5431.99
pose 6770.82 5432.2
next 6770.84 5431.32
pose 6770.82 5432.2
next 6770.84 5431.32
pose 6770.81 5431.9
next 6770.84 5431.17
pose 6770.84 5431.75
next 6770.85 5431.09
pose 6770.84 5431.75
next 6770.85 5431.09
pose 6770.91 5431.54
next 6770.89 5430.99
pose 6770.93 5431.39
next 6770.87 5430.44
pose 6770.94 5431.32
next 6770.87 5430.44
pose 6770.92 5431.02
next 6770.87 5430.44
pose 6770.89 5430.88
next 6770.87 5430.44
pose 6770.86 5430.73
next 6770.87 5430.44
pose 6770.84 5430.59
next 6770.87 5430.44
pose 6770.84 5430.44
next 6770.87 5430.44
pose 6770.85 5430.22
next 6770.87 5429.27
pose 6770.87 5430.15
next 6770.88 5429.22
pose 6770.92 5430.01
next 6770.91 5429.12
pose 6770.92 5430.01
next 6770.91 5429.12
pose 6771.04 5429.76
next 6771.01 5428.93
pose 6771.04 5429.76
next 6771.01 5428.93
pose 6771.08 5429.62
next 6771.03 5428.83
pose 6771.08 5429.34
next 6771.03 5428.61
pose 6771.06 5429.19
next 6771.02 5428.5
pose 6771.06 5429.19
next 6771.02 5428.5
pose 6771.06 5429.05
next 6771.02 5428.39
pose 6771.05 5428.97
next 6771.02 5428.34
pose 6771.05 5428.6
next 6771.01 5428.06
pose 6771.04 5428.46
next 6771.01 5427.95
pose 6771.04 5428.46
