Transform(Location(x=6770.755371, y=5443.435059, z=179.179855), Rotation(pitch=0.217488, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6770.771973, y=5441.435059, z=178.687454), Rotation(pitch=0.217488, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6770.789062, y=5439.435059, z=178.695038), Rotation(pitch=0.217694, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6770.806152, y=5437.435059, z=178.702652), Rotation(pitch=0.218384, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6770.823242, y=5435.435059, z=178.710281), Rotation(pitch=0.219074, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6770.839844, y=5433.435547, z=178.717941), Rotation(pitch=0.219763, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6770.856934, y=5431.435547, z=178.725632), Rotation(pitch=0.220453, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6770.874023, y=5429.435547, z=178.733337), Rotation(pitch=0.221143, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6770.891113, y=5427.435547, z=178.741074), Rotation(pitch=0.221833, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6770.907715, y=5425.435547, z=178.748825), Rotation(pitch=0.222523, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6770.924805, y=5423.435547, z=178.756607), Rotation(pitch=0.223212, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6770.941895, y=5421.435547, z=178.764404), Rotation(pitch=0.223902, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6770.958984, y=5419.436035, z=178.772232), Rotation(pitch=0.224592, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6770.975586, y=5417.436035, z=178.780090), Rotation(pitch=0.225282, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6770.992676, y=5415.436035, z=178.787964), Rotation(pitch=0.225972, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.009766, y=5413.436035, z=178.795868), Rotation(pitch=0.226661, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.026855, y=5411.436035, z=178.803787), Rotation(pitch=0.227351, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.043457, y=5409.436035, z=178.811737), Rotation(pitch=0.228041, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.060547, y=5407.436035, z=178.819702), Rotation(pitch=0.228731, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.085938, y=5404.436523, z=178.831696), Rotation(pitch=0.229158, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.103027, y=5402.436523, z=178.839706), Rotation(pitch=0.229158, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.120117, y=5400.436523, z=178.847702), Rotation(pitch=0.229158, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.137207, y=5398.436523, z=178.855698), Rotation(pitch=0.229158, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.153809, y=5396.436523, z=178.863693), Rotation(pitch=0.229158, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.170898, y=5394.436523, z=178.871689), Rotation(pitch=0.229273, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.187988, y=5392.437012, z=178.879700), Rotation(pitch=0.229724, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.205078, y=5390.437012, z=178.887741), Rotation(pitch=0.230174, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.221680, y=5388.437012, z=178.895782), Rotation(pitch=0.230624, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.238770, y=5386.437012, z=178.903839), Rotation(pitch=0.231074, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.255859, y=5384.437012, z=178.911911), Rotation(pitch=0.231524, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.272949, y=5382.437012, z=178.919998), Rotation(pitch=0.231974, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.289551, y=5380.437012, z=178.928101), Rotation(pitch=0.232424, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.315430, y=5377.437500, z=178.940292), Rotation(pitch=0.233100, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.332031, y=5375.437500, z=178.948441), Rotation(pitch=0.233550, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.349121, y=5373.437500, z=178.956589), Rotation(pitch=0.234000, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.366211, y=5371.437500, z=178.964767), Rotation(pitch=0.234450, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.383301, y=5369.437500, z=178.972961), Rotation(pitch=0.234900, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.399902, y=5367.437500, z=178.981171), Rotation(pitch=0.235350, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.416992, y=5365.437988, z=178.989395), Rotation(pitch=0.235800, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.434082, y=5363.437988, z=178.997635), Rotation(pitch=0.236251, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.451172, y=5361.437988, z=179.005890), Rotation(pitch=0.236701, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.467773, y=5359.437988, z=179.014160), Rotation(pitch=0.237151, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.484863, y=5357.437988, z=179.022446), Rotation(pitch=0.237601, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.501953, y=5355.437988, z=179.030746), Rotation(pitch=0.238051, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.519043, y=5353.437988, z=179.039062), Rotation(pitch=0.238405, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.544434, y=5350.438477, z=179.051544), Rotation(pitch=0.238405, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.561523, y=5348.438477, z=179.059860), Rotation(pitch=0.238405, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.578125, y=5346.438477, z=179.068192), Rotation(pitch=0.238405, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.595215, y=5344.438477, z=179.076508), Rotation(pitch=0.238386, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.612305, y=5342.438477, z=179.084824), Rotation(pitch=0.238330, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.629395, y=5340.438477, z=179.093155), Rotation(pitch=0.238274, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.645996, y=5338.438965, z=179.101471), Rotation(pitch=0.238219, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.663086, y=5336.438965, z=179.109787), Rotation(pitch=0.238163, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.680176, y=5334.438965, z=179.118088), Rotation(pitch=0.238107, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.697266, y=5332.438965, z=179.126404), Rotation(pitch=0.238052, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.713867, y=5330.438965, z=179.134705), Rotation(pitch=0.237996, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.730957, y=5328.438965, z=179.143021), Rotation(pitch=0.237940, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.748047, y=5326.438965, z=179.151321), Rotation(pitch=0.237885, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.773438, y=5323.439453, z=179.163773), Rotation(pitch=0.237801, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.790527, y=5321.439453, z=179.172073), Rotation(pitch=0.237746, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.807617, y=5319.439453, z=179.180374), Rotation(pitch=0.237690, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.824219, y=5317.439453, z=179.188675), Rotation(pitch=0.237634, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.841309, y=5315.439453, z=179.196960), Rotation(pitch=0.237579, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.858398, y=5313.439453, z=179.205261), Rotation(pitch=0.237523, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.875488, y=5311.439941, z=179.213547), Rotation(pitch=0.237467, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.892090, y=5309.439941, z=179.221832), Rotation(pitch=0.237412, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.909180, y=5307.439941, z=179.230118), Rotation(pitch=0.237356, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.926270, y=5305.439941, z=179.238403), Rotation(pitch=0.237339, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.943359, y=5303.439941, z=179.246689), Rotation(pitch=0.237339, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.959961, y=5301.439941, z=179.254974), Rotation(pitch=0.237339, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6771.977051, y=5299.439941, z=179.263260), Rotation(pitch=0.237339, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.002441, y=5296.440430, z=179.275681), Rotation(pitch=0.237339, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.019531, y=5294.440430, z=179.283966), Rotation(pitch=0.237339, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.036621, y=5292.440430, z=179.292252), Rotation(pitch=0.237339, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.053711, y=5290.440430, z=179.300537), Rotation(pitch=0.237301, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.070312, y=5288.440430, z=179.308807), Rotation(pitch=0.236732, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.087402, y=5286.440430, z=179.317062), Rotation(pitch=0.236164, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.104492, y=5284.440918, z=179.325302), Rotation(pitch=0.235595, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.121582, y=5282.440918, z=179.333511), Rotation(pitch=0.235027, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.138184, y=5280.440918, z=179.341705), Rotation(pitch=0.234458, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.155273, y=5278.440918, z=179.349884), Rotation(pitch=0.233890, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.172363, y=5276.440918, z=179.358032), Rotation(pitch=0.233321, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.189453, y=5274.440918, z=179.366165), Rotation(pitch=0.232753, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.206055, y=5272.440918, z=179.374283), Rotation(pitch=0.232184, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.223145, y=5270.441406, z=179.382385), Rotation(pitch=0.231616, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.240234, y=5268.441406, z=179.390457), Rotation(pitch=0.231047, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.257324, y=5266.441406, z=179.398514), Rotation(pitch=0.230479, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.273926, y=5264.441406, z=179.406540), Rotation(pitch=0.229910, yaw=-89.513794, roll=0.000000)) 4
Transform(Location(x=6772.291016, y=5262.441406, z=179.414566), Rotation(pitch=0.229848, yaw=-89.513794, roll=0.000000)) 4
